,Ticker,Last Long Signal,Last Short Signal
10,AAPG,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000
91,AEVA,2025-07-03T00:00:00.000,2025-02-19T00:00:00.000
164,ALGS,2025-07-02T00:00:00.000,2025-04-04T00:00:00.000
233,ANNA,2025-07-03T00:00:00.000,2025-06-09T00:00:00.000
279,AREB,2025-07-02T00:00:00.000,2025-06-30T00:00:00.000
287,ARMG,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
307,ASNS,2025-07-03T00:00:00.000,2025-06-16T00:00:00.000
383,AVTX,2025-07-03T00:00:00.000,2025-05-01T00:00:00.000
395,AZI,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000
502,BLBX,2025-07-03T00:00:00.000,2025-06-09T00:00:00.000
523,BMGL,2025-07-03T00:00:00.000,2025-06-12T00:00:00.000
683,CASI,2025-07-03T00:00:00.000,2025-06-12T00:00:00.000
696,CBUS,2025-07-03T00:00:00.000,2025-06-06T00:00:00.000
792,CHRS,2025-07-03T00:00:00.000,2025-05-12T00:00:00.000
836,CLRB,2025-07-03T00:00:00.000,2025-06-12T00:00:00.000
866,CNTB,2025-07-02T00:00:00.000,2025-03-25T00:00:00.000
881,COIG,2025-07-03T00:00:00.000,2025-05-14T00:00:00.000
986,CURR,2025-07-01T00:00:00.000,2025-05-21T00:00:00.000
1055,DGNX,2025-07-03T00:00:00.000,2025-05-28T00:00:00.000
1070,DJT,2025-07-03T00:00:00.000,2025-06-03T00:00:00.000
1529,FTEK,2025-07-03T00:00:00.000,2024-05-09T00:00:00.000
1718,GSIW,2025-07-03T00:00:00.000,2025-03-31T00:00:00.000
1723,GSUN,2025-07-01T00:00:00.000,2025-06-06T00:00:00.000
1735,GV,2025-07-03T00:00:00.000,2025-06-09T00:00:00.000
1762,HCTI,2025-07-03T00:00:00.000,2025-05-15T00:00:00.000
1814,HOOG,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
1816,HOOX,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
1853,HTLM,2025-07-02T00:00:00.000,2025-03-05T00:00:00.000
1962,ILLR,2025-07-03T00:00:00.000,2025-05-22T00:00:00.000
1970,IMG,2025-07-03T00:00:00.000,2025-06-04T00:00:00.000
2138,JTAI,2025-07-03T00:00:00.000,2025-05-20T00:00:00.000
2323,LOBO,2025-07-02T00:00:00.000,2025-06-10T00:00:00.000
2408,MB,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
2509,MLGO,2025-07-01T00:00:00.000,2025-06-12T00:00:00.000
2540,MOLN,2025-07-03T00:00:00.000,2025-05-07T00:00:00.000
2556,MRKR,2025-07-03T00:00:00.000,2025-03-19T00:00:00.000
2645,NCEW,2025-07-03T00:00:00.000,2025-06-25T00:00:00.000
2649,NCNA,2025-07-03T00:00:00.000,2025-05-08T00:00:00.000
2702,NIVF,2025-07-03T00:00:00.000,2025-06-12T00:00:00.000
2720,NNNN,2025-07-03T00:00:00.000,2025-04-01T00:00:00.000
2873,ONEG,2025-07-03T00:00:00.000,2025-04-02T00:00:00.000
2877,ONMD,2025-07-03T00:00:00.000,2025-05-22T00:00:00.000
2895,ORCX,2025-07-03T00:00:00.000,2025-03-26T00:00:00.000
2912,OST,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
2962,PAYS,2025-07-03T00:00:00.000,2025-03-14T00:00:00.000
3145,PSIX,2025-07-03T00:00:00.000,2025-03-25T00:00:00.000
3162,PTHL,2025-07-03T00:00:00.000,2025-03-28T00:00:00.000
3363,RKLX,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
3434,SAGT,2025-07-03T00:00:00.000,2025-06-10T00:00:00.000
3443,SANW,2025-07-03T00:00:00.000,2025-06-24T00:00:00.000
3481,SEATW,2025-07-03T00:00:00.000,2025-06-04T00:00:00.000
3530,SHOT,2025-07-03T00:00:00.000,2025-05-27T00:00:00.000
3648,SONM,2025-07-03T00:00:00.000,2025-06-30T00:00:00.000
3649,SONN,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000
3684,SQFT,2025-07-01T00:00:00.000,2025-05-29T00:00:00.000
3758,SVRE,2025-07-03T00:00:00.000,2025-06-20T00:00:00.000
3878,TMCWW,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
3948,TSSI,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
4109,VERU,2025-07-03T00:00:00.000,2025-04-02T00:00:00.000
4301,WXM,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
4371,ZBAI,2025-07-03T00:00:00.000,2025-06-04T00:00:00.000
